ChannelID,ChannelName,ChannelIcon,ChannelUrl,ExistedSince,SubscriberCount,VideoCount,ViewCount,Country,Language
UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,https://yt3.ggpht.com/ytc/AIdro_nMHJK_giJLKjwJ85WYDbFRHsOwpAXYrdDVEp4YqXTHK8w=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCX6b17PVsYBQ0ip5gyeme-Q,2006-05-20,15900000,1577,2021142942,US,Unknown
UCFWCFYvqnAMT-jcCqTp_SlA,Unacademy Computer Science,https://yt3.ggpht.com/m3DTxXsUnC8ADsJ0BlABEChmdoCSisFy7NTTSdT4J9WkwhoO8EDA0eRdsgHNJdGm3lfbbCHswA=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCFWCFYvqnAMT-jcCqTp_SlA,2014-12-30,230000,6677,50971145,IN,Unknown
UCq6XkhO5SZ66N04IcPbqNcw,Keith Galli,https://yt3.ggpht.com/xZwNTB7Q6nTdPSMM1M0eDLu9fvCOSYMZjbFFJFsJv21z1pZLH9loMzRCiZ3qVDkOxT3Cq543=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCq6XkhO5SZ66N04IcPbqNcw,2016-12-27,229000,96,15799945,US,Unknown
UCSX3MR0gnKDxyXAyljWzm0Q,Computer Science Lessons,https://yt3.ggpht.com/ONU8ReL9iT_aJB_iwKB75HtJXfGGZLBwWgpaisxk44FmzsMHkT7CEXgf9voIFB8NZ1Go6Tb0yvU=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCSX3MR0gnKDxyXAyljWzm0Q,2013-04-14,217000,346,17487149,GB,Unknown
UC0YHNueF-3Nh3uQT0P4YQZw,Computer Science Center,https://yt3.ggpht.com/BDdqOhKpJJgGXy5HVSz0rFJK5C4HFALG2P0TPzOqw7Mob0SClmfxHUN20ueeXNWJA8wIPczpLg=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC0YHNueF-3Nh3uQT0P4YQZw,2015-04-14,162000,903,12563751,RU,Unknown
UCxJp9aEteKmOeobEsHXwxAw,Computer Science and Engineering,https://yt3.ggpht.com/ytc/AIdro_mB38Prj3a6pz5dsFIkqUDwCoKJVyBg48xKcsSyXBUSQA=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCxJp9aEteKmOeobEsHXwxAw,2013-11-27,128000,0,0,Unknown,Unknown
UCbmb5IoBtHZTpYZCDBOC1CA,Computer Science (compsci112358),https://yt3.ggpht.com/ytc/AIdro_moKOKTPC1LL7ef-9zNp29xN__5hsJKDgAO0EJWjlET0Q=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCbmb5IoBtHZTpYZCDBOC1CA,2014-08-06,115000,307,8112247,Unknown,Unknown
UCArhiicZKBYXDD8r8hNNoUA, University Of Spoken English And Computer Science,https://yt3.ggpht.com/SuuOEg3CH3YRe7FHb8QS1pVUz_wOAv0JH3kzNH-36YDdiFY-c4_a_LLOdzy-QjsWLLOTTc6N=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCArhiicZKBYXDD8r8hNNoUA,2013-08-15,79900,381,2608186,PK,Unknown
UCCbHlQRF99DGR8USBQ073Jg,NTA UGC NET Computer Science CSE,https://yt3.ggpht.com/ytc/AIdro_nFuAuQdisb78mNMAF0lyz-ubTl41fhvs-4FLVrS_m5vW4=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCCbHlQRF99DGR8USBQ073Jg,2015-06-29,73300,1417,5889681,IN,Unknown
UCZFMkDhKzisN8SkU2j2xGHg,Google computer science Institute,https://yt3.ggpht.com/ECOnfRSjGjTVpzPEtq4iuAiJnfJgkmaih4fb1oeU6b20c5nkQp_WcIbZ2ix2YDzjK4ZHZSXaCNg=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCZFMkDhKzisN8SkU2j2xGHg,2018-06-05,37200,242,12195742,IN,Unknown
UCGgAsNJ-w5v4c4iyOH_hGig,Learn Computer Science,https://yt3.ggpht.com/ytc/AIdro_n_Bw4kh50h2ViRA6buUHbLjDP3rIn9238wHdnk-CvS5w=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCGgAsNJ-w5v4c4iyOH_hGig,2019-06-07,37000,43,2255402,IN,Unknown
UC8D3y8S8sEbAC0PVe6TqSzA,Computer Science Punjab,https://yt3.ggpht.com/ytc/AIdro_mUmXhNs8h2UcO8koyDU9BfpE7jl4eD98zyREG8aAYadA=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC8D3y8S8sEbAC0PVe6TqSzA,2019-08-10,36400,172,2214130,IN,Unknown
UCcH5zzLZHmonoUSl1u_0Jsw,Computer Science Academy,https://yt3.ggpht.com/ytc/AIdro_nsqO9Lt2duwU-0XR3xoYypLmRktarm15LFkyMwEZohow=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UCcH5zzLZHmonoUSl1u_0Jsw,2020-06-01,32800,181,4177396,IN,Unknown
UC5PjdOV5YraZB58m-rhtJBg,"Science X: Phys.org, Medical Xpress, Tech Xplore",https://yt3.ggpht.com/dSA3K96DKYzcZxtTFrXTM5Ay8xBixOndixlDR2wFIcUeNiGXFNHK7U1clBUzhUZ8sO1haXStXg=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC5PjdOV5YraZB58m-rhtJBg,2022-06-07,32600,1462,20920896,US,Unknown
UC6ffUA0qFnXu5quz9qUcd3A,Tech Science,https://yt3.ggpht.com/ytc/AIdro_n1V3bmo7ucmkHVcDTUxvQ4fU5Z8XqUjdGTE09EK_OTWg=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC6ffUA0qFnXu5quz9qUcd3A,2019-03-21,29400,404,1631134,PK,Unknown
UC9-lNk-8AhQgUe2aIOmKvdA,Science Easy Tech,https://yt3.ggpht.com/ytc/AIdro_mHutb0dvzCXP5YjJhi0wgG_m_XckZDRAHVARb_bClAKQ=s240-c-k-c0x00ffffff-no-rj,https://www.youtube.com/channel/UC9-lNk-8AhQgUe2aIOmKvdA,2020-07-28,28400,1569,2870675,IN,Unknown
